id,title,especie,raza,sexo,peligroso,fechaNacimiento,capa,tamagno,foto,lugar,disponibilidad,identificadoIngreso,microchip,pasaporteISO,pasaporteNum,rabia,esterilizado,enCMPA,creationDate,lastUpdated,cartilla,fechaRabia,lugarEsterilizacion,fechaEsterilizacion,caracter,description,chenil,espacio,foto2
2922,JAIRO,Canina,AMERICAN STAFFORDSHIRE TERRIER,Macho,S,2020-06-03T00:00:00,Atigrado,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/JAIRO.jpg,Guardería,Disponible,N,941000026523259,ES,020328342,N,S,S,2021-06-09T00:00:00,2021-08-12T10:20:40,,,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/JAIRO.jpg
3342,JASPER,Felina,COMUN EUROPEO,Macho,N,2019-06-15T00:00:00,BLANCO Y NEGRO,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/3342_1663745609849.png,Parque,Disponible,N,941000026523362,,,N,S,S,2021-06-24T00:00:00,2022-09-21T09:33:29,AR0018819,,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/3342_1663745609849.png
3351,Shiba,Canina,MESTIZO,Hembra,N,2014-12-19T00:00:00,Negro,,/cont/paginas/proteccionanimal/animal/imagen/3351_1663747399970.png,Cuarentena,Disponible,S,941000017536978,ES,020187120,S,N,N,2021-06-24T00:00:00,2022-09-21T10:03:19,,,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/3351_1663747399970.png
1910,FINA ,Canina,MESTIZO,Hembra,S,2018-07-15T00:00:00,Atigrado,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/FINA.jpg,Guardería,Disponible,N,941000024746817,ES,020302391,N,S,S,2021-05-20T00:00:00,2021-08-12T11:35:46,,2020-02-10T00:00:00,En el CMPA,2021-05-01T00:00:00,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/FINA.jpg
1930,STRONG,Canina,MESTIZO,Macho,S,2014-06-06T00:00:00,Atigrado,Grande (26-44 kg),/cont/paginas/proteccionanimal/animal/imagen/STRONG.jpg,Guardería,Disponible,S,900176000121034,ES,020300418,S,S,N,2021-05-20T00:00:00,2021-06-02T13:45:31,,2019-09-07T00:00:00,,,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/STRONG.jpg
1990,MILU,Canina,AMERICAN STAFFORDSHIRE TERRIER,Hembra,S,2019-05-10T00:00:00,,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/MILU.jpg,CMPA,Disponible,N,941000025852614,ES,020322712,S,S,S,2021-05-20T00:00:00,2022-05-28T09:11:27,,,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/MILU.jpg
2055,MAYO,Canina,PASTOR ALEMÁN,Macho,N,2011-05-25T00:00:00,Negro y fuego,Grande (26-44 kg),/cont/paginas/proteccionanimal/animal/imagen/mayo.png,CMPA,Disponible,N,941000026523198,ES,020328337,N,S,S,2021-05-20T00:00:00,2022-05-25T08:45:34,,,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/mayo.png
2082,NAPOLEON,Canina,AMERICAN STAFFORDSHIRE TERRIER,Macho,S,2020-07-15T00:00:00,Blanco y negro,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/napoleon.png,CMPA,Disponible,N,941000026523328,ES,020328334,N,S,S,2021-05-20T00:00:00,2022-05-24T10:43:38,,,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/napoleon.png
2117,MISI,Felina,SIAMÉS,Hembra,N,2019-03-30T00:00:00,Gris,Pequeño (< 10 Kg),/cont/paginas/proteccionanimal/animal/imagen/misi.jpg,Cuarentena,Disponible,N,941000026249012,,,N,S,S,2021-05-20T00:00:00,2022-11-25T08:34:31,AR0040568,,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/misi.jpg
2156,MORGAN,Felina,COMÚN EUROPEO,Macho,N,2020-03-15T00:00:00,Negro,Pequeño (< 10 Kg),/cont/paginas/proteccionanimal/animal/imagen/morgan.png,Casa de Acogida,Disponible,N,941000026249030,,,N,N,S,2021-05-20T00:00:00,2022-02-10T09:27:05,AR0040565,,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/morgan.png
2170,CASETAS,Felina,COMÚN EUROPEO,Hembra,N,2019-10-17T00:00:00,Atigrado,Pequeño (< 10 Kg),/cont/paginas/proteccionanimal/animal/imagen/casetas.jpg,Parque,Disponible,N,941000026248989,,,N,S,S,2021-05-20T00:00:00,2021-08-25T15:06:56,AR0040253,,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/casetas.jpg
2183,THORR ,Canina,AMERICAN STAFFORDSHIRE TERRIER,Macho,S,2019-09-13T00:00:00,Blanco y rojo,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/THORR.jpg,Guardería,Disponible,S,941000024718193,ES,020281270,N,S,S,2021-05-20T00:00:00,2021-08-12T09:37:32,,2021-04-15T00:00:00,En el CMPA,2021-05-01T00:00:00,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/THORR.jpg
2203,CHISKA,Canina,MESTIZO,Hembra,S,2013-06-01T00:00:00,Atigrado,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/CHISCA.jpg,Cuarentena,Disponible,S,941000023746637,ES,020333395,N,N,S,2021-05-20T00:00:00,2022-03-18T10:46:43,,2021-05-05T00:00:00,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/CHISCA.jpg
2209,PANCHO,Canina,AMERICAN STAFFORDSHIRE TERRIER,Macho,S,2015-05-01T00:00:00,Blanco y negro,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/FRANCHO.jpg,Guardería,Disponible,S,941000019380918,ES,020332012,S,S,S,2021-05-20T00:00:00,2021-08-21T12:06:25,,2021-02-13T00:00:00,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/FRANCHO.jpg
2220,ABBY ,Canina,MESTIZO,Hembra,S,2020-04-04T00:00:00,Negro y fuego,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/abby.jpg,Guardería,Disponible,N,941000026249023,ES,020333989,N,S,S,2021-05-20T00:00:00,2021-06-02T13:31:51,,2021-04-05T00:00:00,En el CMPA,2021-05-01T00:00:00,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/abby.jpg
2233,DAJJA ,Canina,MESTIZO,Hembra,S,2018-09-15T00:00:00,Blanco y marrón,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/DAJJA.jpg,Guardería,Disponible,S,981098106628147,ES,020271156,N,N,S,2021-05-20T00:00:00,2022-03-18T08:55:00,,2021-02-16T00:00:00,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/DAJJA.jpg
2234,ARIKA ,Canina,PITBULL,Hembra,S,2014-01-06T00:00:00,Blanco y marrón,Mediano (11-25 kg),/cont/paginas/proteccionanimal/animal/imagen/ARIKA.jpg,Guardería,Disponible,S,941000016214553,ES,020332019,N,N,S,2021-05-20T00:00:00,2022-03-18T08:53:57,,2021-02-16T00:00:00,,,,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/ARIKA.jpg
592,DIVA,Canina,AMERICAN STAFFORDSHIRE TERRIER,Hembra,S,2017-11-04T00:00:00,Marrón,Grande (26-44 kg),/cont/paginas/proteccionanimal/animal/imagen/DIVA.jpg,Guardería,Disponible,S,941000021340080,ES,020293739,N,S,N,2021-05-20T00:00:00,2021-08-13T15:09:02,,2021-03-24T00:00:00,,,Bueno,,,,https://www.zaragoza.es/cont/paginas/proteccionanimal/animal/imagen/DIVA.jpg
